"Tabela 6579 - População residente estimada"
"Variável - População residente estimada (Pessoas)"
"Cód.";"Município";"Ano"
"Cód.";"Município";"2013"
"1100015";"Alta Floresta D'Oeste (RO)";"25728"
"1100023";"Ariquemes (RO)";"101269"
"1100031";"Cabixi (RO)";"6495"
"1100049";"Cacoal (RO)";"85863"
"1100056";"Cerejeiras (RO)";"18041"
"1100064";"Colorado do Oeste (RO)";"19190"
"1100072";"Corumbiara (RO)";"9036"
"1100080";"Costa Marques (RO)";"15853"
"1100098";"Espigão D'Oeste (RO)";"31699"
"1100106";"Guajará-Mirim (RO)";"45761"
"1100114";"Jaru (RO)";"55597"
"1100122";"Ji-Paraná (RO)";"128026"
"1100130";"Machadinho D'Oeste (RO)";"35633"
"1100148";"Nova Brasilândia D'Oeste (RO)";"21427"
"1100155";"Ouro Preto do Oeste (RO)";"40099"
"1100189";"Pimenta Bueno (RO)";"36939"
"1100205";"Porto Velho (RO)";"484992"
"1100254";"Presidente Médici (RO)";"23017"
"1100262";"Rio Crespo (RO)";"3666"
"1100288";"Rolim de Moura (RO)";"55357"
"1100296";"Santa Luzia D'Oeste (RO)";"8887"
"1100304";"Vilhena (RO)";"87727"
"1100320";"São Miguel do Guaporé (RO)";"23668"
"1100338";"Nova Mamoré (RO)";"26227"
"1100346";"Alvorada D'Oeste (RO)";"17399"
"1100379";"Alto Alegre dos Parecis (RO)";"13827"
"1100403";"Alto Paraíso (RO)";"19459"
"1100452";"Buritis (RO)";"36555"
"1100502";"Novo Horizonte do Oeste (RO)";"10515"
"1100601";"Cacaulândia (RO)";"6268"
"1100700";"Campo Novo de Rondônia (RO)";"13939"
"1100809";"Candeias do Jamari (RO)";"22973"
"1100908";"Castanheiras (RO)";"3689"
"1100924";"Chupinguaia (RO)";"9636"
"1100940";"Cujubim (RO)";"19410"
"1101005";"Governador Jorge Teixeira (RO)";"10534"
"1101104";"Itapuã do Oeste (RO)";"9661"
"1101203";"Ministro Andreazza (RO)";"10899"
"1101302";"Mirante da Serra (RO)";"12469"
"1101401";"Monte Negro (RO)";"15541"
"1101435";"Nova União (RO)";"7883"
"1101450";"Parecis (RO)";"5477"
"1101468";"Pimenteiras do Oeste (RO)";"2440"
"1101476";"Primavera de Rondônia (RO)";"3597"
"1101484";"São Felipe D'Oeste (RO)";"6219"
"1101492";"São Francisco do Guaporé (RO)";"18265"
"1101500";"Seringueiras (RO)";"12505"
"1101559";"Teixeirópolis (RO)";"5080"
"1101609";"Theobroma (RO)";"11343"
"1101708";"Urupá (RO)";"13491"
"1101757";"Vale do Anari (RO)";"10518"
"1101807";"Vale do Paraíso (RO)";"8425"
"1200013";"Acrelândia (AC)";"13353"
"1200054";"Assis Brasil (AC)";"6480"
"1200104";"Brasiléia (AC)";"22899"
"1200138";"Bujari (AC)";"9003"
"1200179";"Capixaba (AC)";"9836"
"1200203";"Cruzeiro do Sul (AC)";"80377"
"1200252";"Epitaciolândia (AC)";"16099"
"1200302";"Feijó (AC)";"32411"
"1200328";"Jordão (AC)";"7147"
"1200336";"Mâncio Lima (AC)";"16410"
"1200344";"Manoel Urbano (AC)";"8386"
"1200351";"Marechal Thaumaturgo (AC)";"15857"
"1200385";"Plácido de Castro (AC)";"17795"
"1200393";"Porto Walter (AC)";"10143"
"1200401";"Rio Branco (AC)";"357194"
"1200427";"Rodrigues Alves (AC)";"15968"
"1200435";"Santa Rosa do Purus (AC)";"5374"
"1200450";"Senador Guiomard (AC)";"20799"
"1200500";"Sena Madureira (AC)";"40311"
"1200609";"Tarauacá (AC)";"37571"
"1200708";"Xapuri (AC)";"17021"
"1200807";"Porto Acre (AC)";"16029"
"1300029";"Alvarães (AM)";"15166"
"1300060";"Amaturá (AM)";"10436"
"1300086";"Anamã (AM)";"11636"
"1300102";"Anori (AM)";"18351"
"1300144";"Apuí (AM)";"19860"
"1300201";"Atalaia do Norte (AM)";"17174"
"1300300";"Autazes (AM)";"35554"
"1300409";"Barcelos (AM)";"27110"
"1300508";"Barreirinha (AM)";"29737"
"1300607";"Benjamin Constant (AM)";"37564"
"1300631";"Beruri (AM)";"17332"
"1300680";"Boa Vista do Ramos (AM)";"16820"
"1300706";"Boca do Acre (AM)";"32792"
"1300805";"Borba (AM)";"38073"
"1300839";"Caapiranga (AM)";"12004"
"1300904";"Canutama (AM)";"14754"
"1301001";"Carauari (AM)";"27405"
"1301100";"Careiro (AM)";"35431"
"1301159";"Careiro da Várzea (AM)";"26722"
"1301209";"Coari (AM)";"81325"
"1301308";"Codajás (AM)";"25696"
"1301407";"Eirunepé (AM)";"33127"
"1301506";"Envira (AM)";"18051"
"1301605";"Fonte Boa (AM)";"21859"
"1301654";"Guajará (AM)";"15291"
"1301704";"Humaitá (AM)";"49137"
"1301803";"Ipixuna (AM)";"25362"
"1301852";"Iranduba (AM)";"44503"
"1301902";"Itacoatiara (AM)";"94278"
"1301951";"Itamarati (AM)";"8232"
"1302009";"Itapiranga (AM)";"8774"
"1302108";"Japurá (AM)";"6083"
"1302207";"Juruá (AM)";"12408"
"1302306";"Jutaí (AM)";"17376"
"1302405";"Lábrea (AM)";"41600"
"1302504";"Manacapuru (AM)";"91795"
"1302553";"Manaquiri (AM)";"26530"
"1302603";"Manaus (AM)";"1982177"
"1302702";"Manicoré (AM)";"51331"
"1302801";"Maraã (AM)";"18310"
"1302900";"Maués (AM)";"57663"
"1303007";"Nhamundá (AM)";"19792"
"1303106";"Nova Olinda do Norte (AM)";"33829"
"1303205";"Novo Airão (AM)";"16719"
"1303304";"Novo Aripuanã (AM)";"23486"
"1303403";"Parintins (AM)";"109225"
"1303502";"Pauini (AM)";"19149"
"1303536";"Presidente Figueiredo (AM)";"30978"
"1303569";"Rio Preto da Eva (AM)";"28999"
"1303601";"Santa Isabel do Rio Negro (AM)";"20986"
"1303700";"Santo Antônio do Içá (AM)";"24327"
"1303809";"São Gabriel da Cachoeira (AM)";"41575"
"1303908";"São Paulo de Olivença (AM)";"34963"
"1303957";"São Sebastião do Uatumã (AM)";"12115"
"1304005";"Silves (AM)";"8946"
"1304062";"Tabatinga (AM)";"58314"
"1304104";"Tapauá (AM)";"18383"
"1304203";"Tefé (AM)";"62885"
"1304237";"Tonantins (AM)";"18162"
"1304260";"Uarini (AM)";"12801"
"1304302";"Urucará (AM)";"17367"
"1304401";"Urucurituba (AM)";"20091"
"1400027";"Amajari (RR)";"10432"
"1400050";"Alto Alegre (RR)";"16428"
"1400100";"Boa Vista (RR)";"308996"
"1400159";"Bonfim (RR)";"11525"
"1400175";"Cantá (RR)";"15393"
"1400209";"Caracaraí (RR)";"19696"
